Step,Computo,Comunicacion,N
0,0.00144321,0.00003812,10800
1,0.00003959,0.00022582,10800
2,0.00009066,0.00006709,10800
3,0.00111580,0.00000000,10800
4,0.00180595,0.00000000,10800
5,0.00000000,0.00008450,10800
6,0.00000000,0.00000000,10800
0,0.00011744,0.00003091,21600
1,0.00001770,0.00012864,21600
2,0.00012469,0.00004599,21600
3,0.00229703,0.00000000,21600
4,0.00386662,0.00000000,21600
5,0.00000000,0.00009833,21600
6,0.00000000,0.00000000,21600
0,0.15992077,0.01900264,23619600
1,0.00005068,0.01522201,23619600
2,0.10444064,0.01155282,23619600
3,4.31500739,0.00000000,23619600
4,6.34711865,0.00000000,23619600
5,0.00000000,0.02039218,23619600
6,0.00000000,0.00000000,23619600
0,0.01010375,0.03034086,2624400
1,0.00006884,0.02448528,2624400
2,0.01186135,0.00155877,2624400
3,0.40913945,0.00000000,2624400
4,0.62410562,0.00000000,2624400
5,0.00000000,0.00261250,2624400
6,0.00000000,0.00000000,2624400
0,0.00107604,0.00345845,291600
1,0.00003278,0.00296947,291600
2,0.00138546,0.00025978,291600
3,0.03970155,0.00000000,291600
4,0.06064504,0.00000000,291600
5,0.00000000,0.00135869,291600
6,0.00000000,0.00000000,291600
0,0.00005806,0.00001648,3600
1,0.00003157,0.00052441,3600
2,0.00004067,0.00000207,3600
3,0.00031296,0.00000000,3600
4,0.00052022,0.00000000,3600
5,0.00000000,0.00001995,3600
6,0.00000000,0.00000000,3600
0,0.47276795,0.05797448,70858800
1,0.00006972,0.04671159,70858800
2,0.31630286,0.03648061,70858800
3,13.97653702,0.00000000,70858800
4,20.02926731,0.00000000,70858800
5,0.00000000,0.06446867,70858800
6,0.00000000,0.00000000,70858800
0,0.05171422,0.04191485,7873200
1,0.00005051,0.07340623,7873200
2,0.03480817,0.00553722,7873200
3,1.32889790,0.00000000,7873200
4,2.00171014,0.00000000,7873200
5,0.00000000,0.02654485,7873200
6,0.00000000,0.00000000,7873200
0,0.00384770,0.01141695,874800
1,0.00003453,0.00839364,874800
2,0.00415273,0.00044153,874800
3,0.12724501,0.00000000,874800
4,0.19590459,0.00000000,874800
5,0.00000000,0.00366839,874800
6,0.00000000,0.00000000,874800
