Step,Computo,Comunicacion,N
0,0.00437389,0.00007694,10800
1,0.00009047,0.00018015,10800
2,0.00015046,0.00009360,10800
3,0.00062594,0.00000000,10800
4,0.00099907,0.00000000,10800
5,0.00000000,0.00011335,10800
6,0.00000000,0.00000000,10800
0,0.00007346,0.00006017,21600
1,0.00011824,0.00022660,21600
2,0.00010709,0.00007927,21600
3,0.00123758,0.00000000,21600
4,0.00202657,0.00000000,21600
5,0.00000000,0.00008995,21600
6,0.00000000,0.00000000,21600
0,0.25926352,0.03312357,23619600
1,0.00169606,0.01392569,23619600
2,0.08789174,0.01530683,23619600
3,2.19959830,0.00000000,23619600
4,3.30232055,0.00000000,23619600
5,0.00000000,0.09038236,23619600
6,0.00000000,0.00000000,23619600
0,0.00436945,0.03709857,2624400
1,0.00005732,0.03142276,2624400
2,0.05896382,0.00161679,2624400
3,0.20174177,0.00000000,2624400
4,0.31024040,0.00000000,2624400
5,0.00000000,0.00844200,2624400
6,0.00000000,0.00000000,2624400
0,0.01302399,0.00027935,291600
1,0.00003376,0.00055360,291600
2,0.00080090,0.00048075,291600
3,0.01930954,0.00000000,291600
4,0.03004811,0.00000000,291600
5,0.00000000,0.00030487,291600
6,0.00000000,0.00000000,291600
0,0.00038131,0.00003949,3600
1,0.00005650,0.00004905,3600
2,0.00009369,0.00000932,3600
3,0.00019614,0.00000000,3600
4,0.00025296,0.00000000,3600
5,0.00000000,0.00008412,3600
6,0.00000000,0.00000000,3600
0,0.90100403,0.05945633,70858800
1,0.00005755,0.04173238,70858800
2,0.25373361,0.04349609,70858800
3,7.05950135,0.00000000,70858800
4,10.16602689,0.00000000,70858800
5,0.00000000,0.37804915,70858800
6,0.00000000,0.00000000,70858800
0,0.10457878,0.11352385,7873200
1,0.00007123,0.09222799,7873200
2,0.17883040,0.00152020,7873200
3,0.69563015,0.00000000,7873200
4,1.05651866,0.00000000,7873200
5,0.00000000,0.02884923,7873200
6,0.00000000,0.00000000,7873200
0,0.12416124,0.00083391,874800
1,0.00004019,0.00161570,874800
2,0.00243884,0.00169633,874800
3,0.07461834,0.00000000,874800
4,0.10230996,0.00000000,874800
5,0.00000000,0.00151364,874800
6,0.00000000,0.00000000,874800
