Step,Computo,Comunicacion,N
0,0.00223034,0.00000853,10800
1,0.00223887,0,10800
0,0.00478759,0.00001542,21600
1,0.00480301,0,21600
0,8.91829195,0.03718299,23619600
1,8.95547495,0,23619600
0,0.86485082,0.00267295,2624400
1,0.86752377,0,2624400
0,0.07994325,0.00017955,291600
1,0.08012280,0,291600
0,0.00067105,0.00000669,3600
1,0.00067774,0,3600
0,28.13084624,0.11113216,70858800
1,28.24197840,0,70858800
0,2.77593906,0.00935239,7873200
1,2.78529144,0,7873200
0,0.25378835,0.00056977,874800
1,0.25435812,0,874800
