Step,Computo,Comunicacion,N
0,0.00021281,0.00434661,156800
1,0.00036092,0.00217925,156800
2,0.00174871,0.00037862,156800
3,0.00835336,0.00000000,156800
4,0.01293311,0.00000000,156800
5,0.00000000,0.00105798,156800
6,0.00000000,0.00000000,156800
0,0.05311229,0.14856330,19051200
1,0.00177683,0.07789459,19051200
2,0.04909664,0.06853762,19051200
3,1.59117107,0.00000000,19051200
4,2.19360392,0.00000000,19051200
5,0.00000000,0.04742954,19051200
6,0.00000000,0.00000000,19051200
0,0.00176021,0.21422881,2116800
1,0.00052349,0.00925091,2116800
2,0.00538517,0.00679847,2116800
3,0.14951764,0.00000000,2116800
4,0.21137803,0.00000000,2116800
5,0.00000000,0.01613702,2116800
6,0.00000000,0.00000000,2116800
0,0.00016239,0.00056719,235200
1,0.00029949,0.00227300,235200
2,0.00085661,0.00076718,235200
3,0.01393027,0.00000000,235200
4,0.02043638,0.00000000,235200
5,0.00000000,0.00127598,235200
6,0.00000000,0.00000000,235200
0,0.23170144,0.41926386,57153600
1,0.00035075,0.23516339,57153600
2,0.13768892,0.18476197,57153600
3,5.15178343,0.00000000,57153600
4,6.99536753,0.00000000,57153600
5,0.00000000,0.29338994,57153600
6,0.00000000,0.00000000,57153600
0,0.00533722,0.31159089,6350400
1,0.00031778,0.06653142,6350400
2,0.01596494,0.02005880,6350400
3,0.49233394,0.00000000,6350400
4,0.68103844,0.00000000,6350400
5,0.00000000,0.06696025,6350400
6,0.00000000,0.00000000,6350400
0,0.00061510,0.00694795,705600
1,0.00023414,0.00307088,705600
2,0.00211463,0.00233789,705600
3,0.04634047,0.00000000,705600
4,0.06491390,0.00000000,705600
5,0.00000000,0.00278871,705600
6,0.00000000,0.00000000,705600
0,0.00008909,0.00121631,78400
1,0.00021098,0.00047242,78400
2,0.00040277,0.00024328,78400
3,0.00413302,0.00000000,78400
4,0.00637159,0.00000000,78400
5,0.00000000,0.00024253,78400
6,0.00000000,0.00000000,78400
