Step,Computo,Comunicacion,N
0,0.03999926,0.00109694,156800
1,0.00063779,0.00149133,156800
2,0.00098752,0.02770983,156800
3,0.00688458,0.00000000,156800
4,0.01067197,0.00000000,156800
5,0.00000000,0.01193237,156800
6,0.00000000,0.00000000,156800
0,0.93010660,0.02699678,19051200
1,0.00087591,0.10180076,19051200
2,0.04730112,0.08117633,19051200
3,1.90762632,0.00000000,19051200
4,2.56798504,0.00000000,19051200
5,0.00000000,0.38016124,19051200
6,0.00000000,0.00000000,19051200
0,0.80796971,0.05742343,2116800
1,0.00075584,0.17410705,2116800
2,0.02034268,0.01013932,2116800
3,0.13692854,0.00000000,2116800
4,0.18039590,0.00000000,2116800
5,0.00000000,0.19298443,2116800
6,0.00000000,0.00000000,2116800
0,0.08632539,0.00050714,235200
1,0.00062683,0.00148925,235200
2,0.01065561,0.01811716,235200
3,0.01173646,0.00000000,235200
4,0.01749125,0.00000000,235200
5,0.00000000,0.03640175,235200
6,0.00000000,0.00000000,235200
0,3.61563513,0.10827017,57153600
1,0.00084222,0.30349144,57153600
2,0.13917931,0.26924231,57153600
3,5.27249812,0.00000000,57153600
4,6.36810552,0.00000000,57153600
5,0.00000000,3.04230191,57153600
6,0.00000000,0.00000000,57153600
0,2.20504084,0.14025025,6350400
1,0.00249738,0.36519796,6350400
2,0.03547055,0.04305450,6350400
3,0.78135368,0.00000000,6350400
4,0.82149911,0.00000000,6350400
5,0.00000000,0.03178088,6350400
6,0.00000000,0.00000000,6350400
0,0.13824396,0.00045747,705600
1,0.00055483,0.01061097,705600
2,0.00225398,0.03273336,705600
3,0.06345959,0.00000000,705600
4,0.07822606,0.00000000,705600
5,0.00000000,0.00367862,705600
6,0.00000000,0.00000000,705600
0,0.02633884,0.04017431,78400
1,0.00052978,0.14785015,78400
2,0.18780952,0.00010596,78400
3,0.00308503,0.00000000,78400
4,0.00550793,0.00000000,78400
5,0.00000000,0.00759329,78400
6,0.00000000,0.00000000,78400
