Step,Computo,Comunicacion,N
0,0.00029290,0.00750261,10800
1,0.00779551,0,10800
0,0.00058715,0.00437506,21600
1,0.00496221,0,21600
0,0.63661544,0.12952963,23619600
1,0.76614507,0,23619600
0,0.06280328,0.03855694,2624400
1,0.10136022,0,2624400
0,0.00779388,0.01245970,291600
1,0.02025359,0,291600
0,0.00015953,0.00910016,3600
1,0.00925969,0,3600
0,2.67781509,0.34741197,70858800
1,3.02522707,0,70858800
0,0.28035289,0.05543449,7873200
1,0.33578738,0,7873200
0,0.01850220,0.01568355,874800
1,0.03418576,0,874800
