Step,Computo,Comunicacion,N
0,0.00258661,0.00084212,156800
1,0.00015376,0.00110938,156800
2,0.00061185,0.00027381,156800
3,0.00801309,0.00000000,156800
4,0.01299861,0.00000000,156800
5,0.00000000,0.00023787,156800
6,0.00000000,0.00000000,156800
0,0.38937539,0.02809331,19051200
1,0.00033745,0.07863911,19051200
2,0.03961510,0.06080000,19051200
3,1.41987061,0.00000000,19051200
4,1.93905600,0.00000000,19051200
5,0.00000000,0.41050049,19051200
6,0.00000000,0.00000000,19051200
0,0.19145436,0.05016179,2116800
1,0.00015497,0.13467172,2116800
2,0.01768884,0.00603728,2116800
3,0.11266957,0.00000000,2116800
4,0.16662589,0.00000000,2116800
5,0.00000000,0.08759497,2116800
6,0.00000000,0.00000000,2116800
0,0.00916020,0.00043404,235200
1,0.00010266,0.00114166,235200
2,0.00047856,0.00056255,235200
3,0.01027126,0.00000000,235200
4,0.01688174,0.00000000,235200
5,0.00000000,0.00786537,235200
6,0.00000000,0.00000000,235200
0,2.18243944,0.05607286,57153600
1,0.00469356,0.23419187,57153600
2,0.16694908,0.15674173,57153600
3,4.97996477,0.00000000,57153600
4,7.08296546,0.00000000,57153600
5,0.00000000,0.14036947,57153600
6,0.00000000,0.00000000,57153600
0,0.60679242,0.10500791,6350400
1,0.00016580,0.21817566,6350400
2,0.01664930,0.01516422,6350400
3,0.34875901,0.00000000,6350400
4,0.51461066,0.00000000,6350400
5,0.00000000,0.31465621,6350400
6,0.00000000,0.00000000,6350400
0,0.06372431,0.00052229,705600
1,0.00013649,0.00298280,705600
2,0.00122422,0.00145717,705600
3,0.03150676,0.00000000,705600
4,0.04751789,0.00000000,705600
5,0.00000000,0.03294732,705600
6,0.00000000,0.00000000,705600
0,0.00546577,0.00008313,78400
1,0.00009843,0.01146396,78400
2,0.04010404,0.00032428,78400
3,0.00282179,0.00000000,78400
4,0.00477554,0.00000000,78400
5,0.00000000,0.00284314,78400
6,0.00000000,0.00000000,78400
