Step,Computo,Comunicacion,N
0,0.00604221,0.00009437,10800
1,0.00013707,0.00021084,10800
2,0.00016889,0.00010360,10800
3,0.00081980,0.00000000,10800
4,0.00117749,0.00000000,10800
5,0.00000000,0.00003688,10800
6,0.00000000,0.00000000,10800
0,0.00021279,0.00007504,21600
1,0.00005419,0.00018091,21600
2,0.00015138,0.00008473,21600
3,0.00173217,0.00000000,21600
4,0.00244088,0.00000000,21600
5,0.00000000,0.00001564,21600
6,0.00000000,0.00000000,21600
0,0.19307746,0.01962809,23619600
1,0.00006420,0.01429213,23619600
2,0.08967817,0.01428065,23619600
3,2.27707725,0.00000000,23619600
4,4.39069205,0.00000000,23619600
5,0.00000000,0.18512848,23619600
6,0.00000000,0.00000000,23619600
0,0.00376596,0.03884722,2624400
1,0.00006255,0.02890312,2624400
2,0.08410071,0.00155526,2624400
3,0.21852189,0.00000000,2624400
4,0.32530474,0.00000000,2624400
5,0.00000000,0.01088195,2624400
6,0.00000000,0.00000000,2624400
0,0.00036767,0.00026069,291600
1,0.00004265,0.00073210,291600
2,0.00062531,0.00071346,291600
3,0.02105949,0.00000000,291600
4,0.02920471,0.00000000,291600
5,0.00000000,0.00033182,291600
6,0.00000000,0.00000000,291600
0,0.00011470,0.00004718,3600
1,0.00004977,0.00005613,3600
2,0.00005248,0.00001166,3600
3,0.00017373,0.00000000,3600
4,0.00026759,0.00000000,3600
5,0.00000000,0.00000695,3600
6,0.00000000,0.00000000,3600
0,0.86618725,0.05910652,70858800
1,0.00008483,0.04044710,70858800
2,0.27227065,0.04332411,70858800
3,7.26522074,0.00000000,70858800
4,15.46767820,0.00000000,70858800
5,0.00000000,0.70233287,70858800
6,0.00000000,0.00000000,70858800
0,0.00926786,0.21859707,7873200
1,0.00063053,0.08602725,7873200
2,0.25987479,0.00125100,7873200
3,0.71436016,0.00000000,7873200
4,1.20815632,0.00000000,7873200
5,0.00000000,0.00768239,7873200
6,0.00000000,0.00000000,7873200
0,0.08072751,0.00072310,874800
1,0.00004684,0.00211390,874800
2,0.00184372,0.00224272,874800
3,0.06684131,0.00000000,874800
4,0.09599501,0.00000000,874800
5,0.00000000,0.00184456,874800
6,0.00000000,0.00000000,874800
