Step,Computo,Comunicacion,N
0,0.12757858,0.28539002,19051200
1,0.00162213,0.05923015,19051200
2,0.06148813,0.01157615,19051200
3,1.83384729,0.00000000,19051200
4,2.42787847,0.00000000,19051200
5,0.00000000,0.03146969,19051200
6,0.00000000,0.00000000,19051200
0,0.00185261,0.15397368,2116800
1,0.00049935,0.00689377,2116800
2,0.00637743,0.00133805,2116800
3,0.14898179,0.00000000,2116800
4,0.18403504,0.00000000,2116800
5,0.00000000,0.07683743,2116800
6,0.00000000,0.00000000,2116800
0,0.01371434,0.15752314,6350400
1,0.00036624,0.02247140,6350400
2,0.01128657,0.00238826,6350400
3,0.37724376,0.00000000,6350400
4,0.56834498,0.00000000,6350400
5,0.00000000,0.38163070,6350400
6,0.00000000,0.00000000,6350400
0,0.00062273,0.02406103,705600
1,0.00035994,0.00234918,705600
2,0.00175274,0.00182853,705600
3,0.03473210,0.00000000,705600
4,0.05490360,0.00000000,705600
5,0.00000000,0.03387103,705600
6,0.00000000,0.00000000,705600
