Step,Computo,Comunicacion,N
0,0.00004734,0.00007054,10800
1,0.00084687,0.00021906,10800
2,0.00008778,0.00004349,10800
3,0.00126504,0.00000000,10800
4,0.00196968,0.00000000,10800
5,0.00000000,0.00007236,10800
6,0.00000000,0.00000000,10800
0,0.00008723,0.00005710,21600
1,0.00003697,0.00013778,21600
2,0.00015157,0.00004706,21600
3,0.00234879,0.00000000,21600
4,0.00376590,0.00000000,21600
5,0.00000000,0.00014849,21600
6,0.00000000,0.00000000,21600
0,0.16424138,0.01921816,23619600
1,0.00011168,0.01464336,23619600
2,0.10451318,0.01229575,23619600
3,4.27844598,0.00000000,23619600
4,6.41940240,0.00000000,23619600
5,0.00000000,0.06036045,23619600
6,0.00000000,0.00000000,23619600
0,0.01050208,0.05625513,2624400
1,0.00008991,0.00168962,2624400
2,0.01172353,0.00169884,2624400
3,0.40808656,0.00000000,2624400
4,0.63860991,0.00000000,2624400
5,0.00000000,0.00207645,2624400
6,0.00000000,0.00000000,2624400
0,0.00098322,0.00886276,291600
1,0.00008313,0.00025213,291600
2,0.00140411,0.00020586,291600
3,0.03785014,0.00000000,291600
4,0.06021443,0.00000000,291600
5,0.00000000,0.00114092,291600
6,0.00000000,0.00000000,291600
0,0.00000913,0.00002310,3600
1,0.00003677,0.00003959,3600
2,0.00008126,0.00000586,3600
3,0.00031739,0.00000000,3600
4,0.00053820,0.00000000,3600
5,0.00000000,0.00004584,3600
6,0.00000000,0.00000000,3600
0,0.48485903,0.07691760,70858800
1,0.00009794,0.04457662,70858800
2,0.31150308,0.03549514,70858800
3,13.89015568,0.00000000,70858800
4,20.42855314,0.00000000,70858800
5,0.00000000,0.05735770,70858800
6,0.00000000,0.00000000,70858800
0,0.05346105,0.10022389,7873200
1,0.00010683,0.00504381,7873200
2,0.03434680,0.00412237,7873200
3,1.32130705,0.00000000,7873200
4,2.00182760,0.00000000,7873200
5,0.00000000,0.00687391,7873200
6,0.00000000,0.00000000,7873200
0,0.00376980,0.02694581,874800
1,0.00006395,0.00065747,874800
2,0.00389351,0.00060162,874800
3,0.12425156,0.00000000,874800
4,0.19445271,0.00000000,874800
5,0.00000000,0.00054882,874800
6,0.00000000,0.00000000,874800
