Step,Computo,Comunicacion,N
0,0.00202989,0.00002786,10800
1,0.00002565,0.00000309,10800
2,0.00020464,0.00000011,10800
3,0.00226937,0.00000000,10800
4,0.00375132,0.00000000,10800
5,0.00000000,0.00000564,10800
6,0.00000000,0.00000000,10800
0,0.00021612,0.00000482,21600
1,0.00000845,0.00000014,21600
2,0.00019040,0.00000009,21600
3,0.00441950,0.00000000,21600
4,0.00764870,0.00000000,21600
5,0.00000000,0.00000423,21600
6,0.00000000,0.00000000,21600
0,0.32299298,0.01928877,23619600
1,0.00004296,0.00000084,23619600
2,0.20520125,0.00000091,23619600
3,8.94315885,0.00000000,23619600
4,12.35790305,0.00000000,23619600
5,0.00000000,0.03890893,23619600
6,0.00000000,0.00000000,23619600
0,0.03069248,0.00218884,2624400
1,0.00004176,0.00000044,2624400
2,0.02192754,0.00000046,2624400
3,0.81713782,0.00000000,2624400
4,1.23933758,0.00000000,2624400
5,0.00000000,0.00225533,2624400
6,0.00000000,0.00000000,2624400
0,0.00154575,0.00012998,291600
1,0.00001276,0.00000026,291600
2,0.00245159,0.00000022,291600
3,0.07667307,0.00000000,291600
4,0.12014796,0.00000000,291600
5,0.00000000,0.00012202,291600
6,0.00000000,0.00000000,291600
0,0.00002884,0.00000094,3600
1,0.00000663,0.00000009,3600
2,0.00003449,0.00000007,3600
3,0.00063752,0.00000000,3600
4,0.00106568,0.00000000,3600
5,0.00000000,0.00000082,3600
6,0.00000000,0.00000000,3600
0,0.92000910,0.05840951,70858800
1,0.00004320,0.00000047,70858800
2,0.60881631,0.00000080,70858800
3,27.52812202,0.00000000,70858800
4,39.24850204,0.00000000,70858800
5,0.00000000,0.10719423,70858800
6,0.00000000,0.00000000,70858800
0,0.09427164,0.00649083,7873200
1,0.00004380,0.00000044,7873200
2,0.06654889,0.00000084,7873200
3,2.66442969,0.00000000,7873200
4,3.92188633,0.00000000,7873200
5,0.00000000,0.01715270,7873200
6,0.00000000,0.00000000,7873200
0,0.00780073,0.00052677,874800
1,0.00001570,0.00000032,874800
2,0.00763408,0.00000049,874800
3,0.25321082,0.00000000,874800
4,0.38535496,0.00000000,874800
5,0.00000000,0.00072735,874800
6,0.00000000,0.00000000,874800
