Step,Computo,Comunicacion,N
0,0.00001167,0.00006850,10800
1,0.00588113,0.00009832,10800
2,0.00016879,0.00018123,10800
3,0.00067792,0.00000000,10800
4,0.00106789,0.00000000,10800
5,0.00000000,0.00007451,10800
6,0.00000000,0.00000000,10800
0,0.00002062,0.00008525,21600
1,0.00010976,0.00009081,21600
2,0.00010910,0.00010689,21600
3,0.00129892,0.00000000,21600
4,0.00222627,0.00000000,21600
5,0.00000000,0.00014007,21600
6,0.00000000,0.00000000,21600
0,0.10552133,0.13684279,23619600
1,0.00012805,0.03744538,23619600
2,0.06161477,0.01505354,23619600
3,2.18059658,0.00000000,23619600
4,3.31084001,0.00000000,23619600
5,0.00000000,0.10569727,23619600
6,0.00000000,0.00000000,23619600
0,0.00343118,0.11488577,2624400
1,0.00013730,0.00378022,2624400
2,0.00720302,0.00155592,2624400
3,0.20586565,0.00000000,2624400
4,0.32449891,0.00000000,2624400
5,0.00000000,0.00628969,2624400
6,0.00000000,0.00000000,2624400
0,0.00025367,0.00022256,291600
1,0.00009862,0.00052429,291600
2,0.00081014,0.00053840,291600
3,0.01895182,0.00000000,291600
4,0.03057379,0.00000000,291600
5,0.00000000,0.00080531,291600
6,0.00000000,0.00000000,291600
0,0.00000536,0.00003788,3600
1,0.00006708,0.00004771,3600
2,0.00006528,0.00000974,3600
3,0.00017367,0.00000000,3600
4,0.00033596,0.00000000,3600
5,0.00000000,0.00001885,3600
6,0.00000000,0.00000000,3600
0,0.31019706,0.58604287,70858800
1,0.00013571,0.12055088,70858800
2,0.17454531,0.04319523,70858800
3,7.11557549,0.00000000,70858800
4,10.34338315,0.00000000,70858800
5,0.00000000,0.33149184,70858800
6,0.00000000,0.00000000,70858800
0,0.01336498,0.30216023,7873200
1,0.00013363,0.01265147,7873200
2,0.03317357,0.00151534,7873200
3,0.69611980,0.00000000,7873200
4,1.03479188,0.00000000,7873200
5,0.00000000,0.00800987,7873200
6,0.00000000,0.00000000,7873200
0,0.00090184,0.10340104,874800
1,0.00012588,0.00143295,874800
2,0.00257344,0.00150076,874800
3,0.06306910,0.00000000,874800
4,0.09956376,0.00000000,874800
5,0.00000000,0.00214786,874800
6,0.00000000,0.00000000,874800
