Step,Computo,Comunicacion,N
0,0.00093601,0.00134285,10800
1,0.00227886,0,10800
0,0.00213572,0.00138177,21600
1,0.00351748,0,21600
0,3.27717689,0.06049569,23619600
1,3.33767258,0,23619600
0,0.30173903,0.01276052,2624400
1,0.31449954,0,2624400
0,0.03510359,0.00323019,291600
1,0.03833378,0,291600
0,0.00043161,0.00036506,3600
1,0.00079668,0,3600
0,10.32597294,0.56545704,70858800
1,10.89142998,0,70858800
0,1.14189083,0.03139858,7873200
1,1.17328940,0,7873200
0,0.10570741,0.00482938,874800
1,0.11053679,0,874800
