Step,Computo,Comunicacion,N
0,0.00001652,0.00045435,10800
1,0.01110745,0.00016257,10800
2,0.00022320,0.00002683,10800
3,0.00039392,0.00000000,10800
4,0.00066632,0.00000000,10800
5,0.00000000,0.00061095,10800
6,0.00000000,0.00000000,10800
0,0.00001558,0.00021055,21600
1,0.00018369,0.00011949,21600
2,0.00014707,0.00024629,21600
3,0.00082981,0.00000000,21600
4,0.00147111,0.00000000,21600
5,0.00000000,0.00102789,21600
6,0.00000000,0.00000000,21600
0,0.12179802,0.28373417,23619600
1,0.00021116,0.06243778,23619600
2,0.05587249,0.01415541,23619600
3,1.72150361,0.00000000,23619600
4,2.59592109,0.00000000,23619600
5,0.00000000,0.16063096,23619600
6,0.00000000,0.00000000,23619600
0,0.00263347,0.16465163,2624400
1,0.00017427,0.00783190,2624400
2,0.00507571,0.00136165,2624400
3,0.16331145,0.00000000,2624400
4,0.25584063,0.00000000,2624400
5,0.00000000,0.00923916,2624400
6,0.00000000,0.00000000,2624400
0,0.00023472,0.01608046,291600
1,0.00015967,0.00098772,291600
2,0.00071244,0.00091187,291600
3,0.01492424,0.00000000,291600
4,0.02405093,0.00000000,291600
5,0.00000000,0.00038232,291600
6,0.00000000,0.00000000,291600
0,0.00000522,0.00005305,3600
1,0.01564182,0.00008363,3600
2,0.00006717,0.00001746,3600
3,0.00012441,0.00000000,3600
4,0.00022142,0.00000000,3600
5,0.00000000,0.00005678,3600
6,0.00000000,0.00000000,3600
0,0.40690261,0.69864814,70858800
1,0.00022545,0.18848181,70858800
2,0.20833741,0.03893017,70858800
3,5.77506577,0.00000000,70858800
4,8.30608684,0.00000000,70858800
5,0.00000000,0.15874999,70858800
6,0.00000000,0.00000000,70858800
0,0.01945429,0.48239825,7873200
1,0.00018685,0.01985392,7873200
2,0.03470457,0.00423488,7873200
3,0.52880924,0.00000000,7873200
4,0.82701095,0.00000000,7873200
5,0.00000000,0.06547488,7873200
6,0.00000000,0.00000000,7873200
0,0.00085768,0.00626926,874800
1,0.00018394,0.00263728,874800
2,0.00181621,0.00261167,874800
3,0.04893860,0.00000000,874800
4,0.07919318,0.00000000,874800
5,0.00000000,0.00181891,874800
6,0.00000000,0.00000000,874800
