Step,Computo,Comunicacion,N
0,0.00011321,0.00000778,10800
1,0.00184779,0.00000399,10800
2,0.00023066,0.00000010,10800
3,0.00210132,0.00000000,10800
4,0.00356930,0.00000000,10800
5,0.00000000,0.00000636,10800
6,0.00000000,0.00000000,10800
0,0.00018815,0.00000451,21600
1,0.00001638,0.00000014,21600
2,0.00018974,0.00000008,21600
3,0.00442725,0.00000000,21600
4,0.00761226,0.00000000,21600
5,0.00000000,0.00000426,21600
6,0.00000000,0.00000000,21600
0,0.32153765,0.01988878,23619600
1,0.00004271,0.00000057,23619600
2,0.21708796,0.00000093,23619600
3,8.59502103,0.00000000,23619600
4,12.74231752,0.00000000,23619600
5,0.00000000,0.03844739,23619600
6,0.00000000,0.00000000,23619600
0,0.03128811,0.00220696,2624400
1,0.00010974,0.00000034,2624400
2,0.02201250,0.00000041,2624400
3,0.81723522,0.00000000,2624400
4,1.25661807,0.00000000,2624400
5,0.00000000,0.00421469,2624400
6,0.00000000,0.00000000,2624400
0,0.00243596,0.00011590,291600
1,0.00008430,0.00000028,291600
2,0.00249407,0.00000020,291600
3,0.07737783,0.00000000,291600
4,0.12871267,0.00000000,291600
5,0.00000000,0.00024059,291600
6,0.00000000,0.00000000,291600
0,0.00001964,0.00000143,3600
1,0.00003878,0.00000026,3600
2,0.00003616,0.00000009,3600
3,0.00064956,0.00000000,3600
4,0.00109793,0.00000000,3600
5,0.00000000,0.00000088,3600
6,0.00000000,0.00000000,3600
0,0.93075310,0.10377414,70858800
1,0.00006998,0.00000064,70858800
2,0.60377162,0.00000092,70858800
3,27.38472832,0.00000000,70858800
4,40.19250328,0.00000000,70858800
5,0.00000000,0.10692313,70858800
6,0.00000000,0.00000000,70858800
0,0.09023766,0.00651389,7873200
1,0.00011369,0.00000068,7873200
2,0.06636053,0.00000083,7873200
3,2.67660150,0.00000000,7873200
4,3.97554483,0.00000000,7873200
5,0.00000000,0.01332552,7873200
6,0.00000000,0.00000000,7873200
0,0.00758370,0.00050780,874800
1,0.00008865,0.00000040,874800
2,0.00743334,0.00000042,874800
3,0.25028162,0.00000000,874800
4,0.39781315,0.00000000,874800
5,0.00000000,0.00066515,874800
6,0.00000000,0.00000000,874800
