Step,Computo,Comunicacion,N
0,0.00158878,0.00078211,10800
1,0.00237088,0,10800
0,0.00360589,0.00100127,21600
1,0.00460716,0,21600
0,5.95875290,0.11304475,23619600
1,6.07179765,0,23619600
0,0.54289521,0.25585346,2624400
1,0.79874867,0,2624400
0,0.06142198,0.00255877,291600
1,0.06398074,0,291600
0,0.00049796,0.00083561,3600
1,0.00133357,0,3600
0,19.51210514,0.13097576,70858800
1,19.64308090,0,70858800
0,1.97827636,0.02160128,7873200
1,1.99987764,0,7873200
0,0.20039493,0.00556036,874800
1,0.20595529,0,874800
