Step,Computo,Comunicacion,N
0,0.00112883,0.00004692,10800
1,0.00004223,0.00018176,10800
2,0.00008808,0.00011474,10800
3,0.00100522,0.00000000,10800
4,0.00141135,0.00000000,10800
5,0.00000000,0.00031029,10800
6,0.00000000,0.00000000,10800
0,0.00081104,0.00006415,21600
1,0.00003730,0.00014976,21600
2,0.00010764,0.00006534,21600
3,0.00198356,0.00000000,21600
4,0.00265129,0.00000000,21600
5,0.00000000,0.00115519,21600
6,0.00000000,0.00000000,21600
0,0.11538038,0.01881003,23619600
1,0.00006091,0.02826725,23619600
2,0.06857359,0.02800468,23619600
3,3.28119138,0.00000000,23619600
4,6.53388771,0.00000000,23619600
5,0.00000000,0.15686429,23619600
6,0.00000000,0.00000000,23619600
0,0.00580265,0.02873705,2624400
1,0.00005542,0.05471130,2624400
2,0.01172477,0.00324996,2624400
3,0.31466733,0.00000000,2624400
4,0.48398550,0.00000000,2624400
5,0.00000000,0.00709010,2624400
6,0.00000000,0.00000000,2624400
0,0.00049707,0.00030482,291600
1,0.00004227,0.00039047,291600
2,0.00093225,0.00036477,291600
3,0.03006449,0.00000000,291600
4,0.04293504,0.00000000,291600
5,0.00000000,0.00036885,291600
6,0.00000000,0.00000000,291600
0,0.00005486,0.00003081,3600
1,0.00003061,0.00001784,3600
2,0.00053137,0.00001075,3600
3,0.00023173,0.00000000,3600
4,0.00035403,0.00000000,3600
5,0.00000000,0.00004002,3600
6,0.00000000,0.00000000,3600
0,0.44861464,0.12998766,70858800
1,0.00005718,0.08496230,70858800
2,0.20589819,0.08342301,70858800
3,10.51195252,0.00000000,70858800
4,23.04026363,0.00000000,70858800
5,0.00000000,0.88166213,70858800
6,0.00000000,0.00000000,70858800
0,0.02220788,0.09532614,7873200
1,0.00008478,0.18792810,7873200
2,0.02382984,0.00922739,7873200
3,1.02519394,0.00000000,7873200
4,1.75353706,0.00000000,7873200
5,0.00000000,0.01046528,7873200
6,0.00000000,0.00000000,7873200
0,0.00149964,0.00377299,874800
1,0.00003678,0.00307367,874800
2,0.00249676,0.00124901,874800
3,0.09693061,0.00000000,874800
4,0.14075918,0.00000000,874800
5,0.00000000,0.00347918,874800
6,0.00000000,0.00000000,874800
