Step,Computo,Comunicacion,N
0,0.00113620,0.00001182,10800
1,0.00003603,0.00000262,10800
2,0.00039783,0.00000010,10800
3,0.00267348,0.00000000,10800
4,0.00395634,0.00000000,10800
5,0.00000000,0.00000413,10800
6,0.00000000,0.00000000,10800
0,0.00022430,0.00000432,21600
1,0.00000479,0.00000012,21600
2,0.00018744,0.00000010,21600
3,0.00556885,0.00000000,21600
4,0.00825579,0.00000000,21600
5,0.00000000,0.00000412,21600
6,0.00000000,0.00000000,21600
0,0.31653259,0.01907555,23619600
1,0.00007031,0.00000055,23619600
2,0.19492120,0.00000083,23619600
3,9.74442989,0.00000000,23619600
4,19.80799790,0.00000000,23619600
5,0.00000000,0.05219528,23619600
6,0.00000000,0.00000000,23619600
0,0.02208174,0.00201338,2624400
1,0.00001862,0.00000041,2624400
2,0.02130908,0.00000055,2624400
3,0.93932024,0.00000000,2624400
4,1.52998151,0.00000000,2624400
5,0.00000000,0.00221498,2624400
6,0.00000000,0.00000000,2624400
0,0.00158967,0.00013563,291600
1,0.00003909,0.00000037,291600
2,0.00242972,0.00000026,291600
3,0.08881449,0.00000000,291600
4,0.13389910,0.00000000,291600
5,0.00000000,0.00014426,291600
6,0.00000000,0.00000000,291600
0,0.00003306,0.00000091,3600
1,0.00000363,0.00000011,3600
2,0.00003314,0.00000008,3600
3,0.00078989,0.00000000,3600
4,0.00119372,0.00000000,3600
5,0.00000000,0.00000079,3600
6,0.00000000,0.00000000,3600
0,0.91301884,0.06142329,70858800
1,0.00003735,0.00000054,70858800
2,0.57192583,0.00000069,70858800
3,30.97361878,0.00000000,70858800
4,69.39145390,0.00000000,70858800
5,0.00000000,0.12496156,70858800
6,0.00000000,0.00000000,70858800
0,0.06620812,0.00643088,7873200
1,0.00003675,0.00000062,7873200
2,0.06580958,0.00000075,7873200
3,3.03916255,0.00000000,7873200
4,5.13094996,0.00000000,7873200
5,0.00000000,0.00691175,7873200
6,0.00000000,0.00000000,7873200
0,0.00430642,0.00044660,874800
1,0.00001963,0.00000041,874800
2,0.00705237,0.00000035,874800
3,0.29085636,0.00000000,874800
4,0.43929728,0.00000000,874800
5,0.00000000,0.00053081,874800
6,0.00000000,0.00000000,874800
