Step,Computo,Comunicacion,N
0,0.00635043,0.00007746,10800
1,0.00009047,0.00022344,10800
2,0.00017452,0.00012113,10800
3,0.00057076,0.00000000,10800
4,0.00087211,0.00000000,10800
5,0.00000000,0.00049941,10800
6,0.00000000,0.00000000,10800
0,0.00010454,0.00008164,21600
1,0.00004729,0.00020266,21600
2,0.00009552,0.00010121,21600
3,0.00102093,0.00000000,21600
4,0.00163845,0.00000000,21600
5,0.00000000,0.00057253,21600
6,0.00000000,0.00000000,21600
0,0.29813182,0.02842152,23619600
1,0.00008398,0.01427303,23619600
2,0.09185006,0.01441926,23619600
3,1.97655288,0.00000000,23619600
4,2.94253878,0.00000000,23619600
5,0.00000000,0.10852186,23619600
6,0.00000000,0.00000000,23619600
0,0.00323518,0.03670508,2624400
1,0.00006880,0.03044350,2624400
2,0.08571276,0.00155427,2624400
3,0.18756628,0.00000000,2624400
4,0.28319125,0.00000000,2624400
5,0.00000000,0.01142726,2624400
6,0.00000000,0.00000000,2624400
0,0.00036971,0.00024195,291600
1,0.00005404,0.00075477,291600
2,0.00071436,0.00071467,291600
3,0.01717239,0.00000000,291600
4,0.02706835,0.00000000,291600
5,0.00000000,0.00049632,291600
6,0.00000000,0.00000000,291600
0,0.00040050,0.00003858,3600
1,0.00003707,0.00004326,3600
2,0.00006023,0.00001818,3600
3,0.00014024,0.00000000,3600
4,0.00023544,0.00000000,3600
5,0.00000000,0.00002361,3600
6,0.00000000,0.00000000,3600
0,1.08595958,0.05863768,70858800
1,0.00012059,0.04117964,70858800
2,0.27980193,0.04256262,70858800
3,6.39296785,0.00000000,70858800
4,9.38029499,0.00000000,70858800
5,0.00000000,0.28045828,70858800
6,0.00000000,0.00000000,70858800
0,0.00972957,0.11880238,7873200
1,0.00009787,0.08944116,7873200
2,0.25795332,0.00119874,7873200
3,0.60547099,0.00000000,7873200
4,0.94424630,0.00000000,7873200
5,0.00000000,0.00766145,7873200
6,0.00000000,0.00000000,7873200
0,0.08540931,0.00071324,874800
1,0.00005013,0.00208994,874800
2,0.00203542,0.00221207,874800
3,0.05618483,0.00000000,874800
4,0.08978608,0.00000000,874800
5,0.00000000,0.00098237,874800
6,0.00000000,0.00000000,874800
