Step,Computo,Comunicacion,N
0,0.00073404,0.00003498,10800
1,0.00002502,0.00015736,10800
2,0.00009341,0.00007581,10800
3,0.00133041,0.00000000,10800
4,0.00192766,0.00000000,10800
5,0.00000000,0.00009535,10800
6,0.00000000,0.00000000,10800
0,0.00016574,0.00004416,21600
1,0.00002140,0.00008703,21600
2,0.00020399,0.00006208,21600
3,0.00305521,0.00000000,21600
4,0.00416261,0.00000000,21600
5,0.00000000,0.00006154,21600
6,0.00000000,0.00000000,21600
0,0.18099846,0.01887536,23619600
1,0.00005562,0.01547705,23619600
2,0.09935816,0.01590907,23619600
3,4.93828574,0.00000000,23619600
4,9.53713194,0.00000000,23619600
5,0.00000000,0.17812461,23619600
6,0.00000000,0.00000000,23619600
0,0.00864981,0.02999624,2624400
1,0.00004673,0.01701743,2624400
2,0.01405881,0.00154172,2624400
3,0.46859430,0.00000000,2624400
4,0.73740443,0.00000000,2624400
5,0.00000000,0.01219414,2624400
6,0.00000000,0.00000000,2624400
0,0.00112808,0.00115109,291600
1,0.00002969,0.00229960,291600
2,0.00143131,0.00016900,291600
3,0.04667992,0.00000000,291600
4,0.06408619,0.00000000,291600
5,0.00000000,0.00082848,291600
6,0.00000000,0.00000000,291600
0,0.00004078,0.00001302,3600
1,0.00002149,0.00002536,3600
2,0.00003939,0.00000172,3600
3,0.00041350,0.00000000,3600
4,0.00056412,0.00000000,3600
5,0.00000000,0.00000725,3600
6,0.00000000,0.00000000,3600
0,0.49370812,0.05815933,70858800
1,0.00005174,0.04491915,70858800
2,0.29671905,0.03936954,70858800
3,15.68347781,0.00000000,70858800
4,34.42820113,0.00000000,70858800
5,0.00000000,0.50586301,70858800
6,0.00000000,0.00000000,70858800
0,0.04575845,0.03993010,7873200
1,0.00004787,0.05467955,7873200
2,0.03312795,0.00450924,7873200
3,1.55108849,0.00000000,7873200
4,2.57368998,0.00000000,7873200
5,0.00000000,0.00523268,7873200
6,0.00000000,0.00000000,7873200
0,0.00378378,0.00437667,874800
1,0.00003346,0.00194697,874800
2,0.00377933,0.00053316,874800
3,0.14570452,0.00000000,874800
4,0.21653714,0.00000000,874800
5,0.00000000,0.00489406,874800
6,0.00000000,0.00000000,874800
