Step,Computo,Comunicacion,N
0,0.01532173,0.00037822,156800
1,0.00012049,0.00070130,156800
2,0.00054897,0.00045968,156800
3,0.00641206,0.00000000,156800
4,0.01046162,0.00000000,156800
5,0.00000000,0.00672904,156800
6,0.00000000,0.00000000,156800
0,0.58605779,0.01968059,19051200
1,0.00026975,0.01170645,19051200
2,0.12591622,0.00821963,19051200
3,1.42938569,0.00000000,19051200
4,1.89584394,0.00000000,19051200
5,0.00000000,0.70986978,19051200
6,0.00000000,0.00000000,19051200
0,0.25732333,0.04013655,2116800
1,0.00017268,0.02835056,2116800
2,0.16887885,0.00102151,2116800
3,0.11339097,0.00000000,2116800
4,0.16782328,0.00000000,2116800
5,0.00000000,0.11860985,2116800
6,0.00000000,0.00000000,2116800
0,0.01002299,0.00041353,235200
1,0.00011100,0.00099491,235200
2,0.00049748,0.00069850,235200
3,0.01040708,0.00000000,235200
4,0.01694345,0.00000000,235200
5,0.00000000,0.01008933,235200
6,0.00000000,0.00000000,235200
0,1.60366791,0.07074327,57153600
1,0.00020961,0.03421558,57153600
2,0.27747874,0.02904438,57153600
3,3.95334586,0.00000000,57153600
4,5.73018312,0.00000000,57153600
5,0.00000000,3.82976507,57153600
6,0.00000000,0.00000000,57153600
0,0.39915990,0.10811062,6350400
1,0.00017223,0.08105724,6350400
2,0.39399768,0.00290744,6350400
3,0.37244546,0.00000000,6350400
4,0.55679218,0.00000000,6350400
5,0.00000000,0.37567044,6350400
6,0.00000000,0.00000000,6350400
0,0.05476627,0.00086559,705600
1,0.00012536,0.00258193,705600
2,0.00137532,0.00253036,705600
3,0.03666286,0.00000000,705600
4,0.05533519,0.00000000,705600
5,0.00000000,0.03201744,705600
6,0.00000000,0.00000000,705600
0,0.00599157,0.00011572,78400
1,0.00009857,0.00041015,78400
2,0.04669189,0.00031540,78400
3,0.00330363,0.00000000,78400
4,0.00530367,0.00000000,78400
5,0.00000000,0.00368764,78400
6,0.00000000,0.00000000,78400
