Step,Computo,Comunicacion,N
0,0.00018786,0.00481591,14400
1,0.00291930,0.00024872,14400
2,0.00594701,0.00006806,14400
3,0.00230585,0.00000000,14400
4,0.00367100,0.00000000,14400
5,0.00000000,0.00159246,14400
6,0.00000000,4.67277612,14400
0,0.00032827,0.00584454,28800
1,0.03410663,0.00005045,28800
2,0.08886932,0.00008430,28800
3,0.00651269,0.00000000,28800
4,0.00746279,0.00000000,28800
5,0.00000000,0.00386249,28800
6,0.00000000,20.76870629,28800
0,0.00068907,0.00468015,43200
1,0.00292447,0.00005827,43200
2,0.00056212,0.00006950,43200
3,0.00951078,0.00000000,43200
4,0.01282830,0.00000000,43200
5,0.00000000,0.01210843,43200
6,0.00000000,42.80691961,43200
0,0.00051214,0.00040740,57600
1,0.00258113,0.00028587,57600
2,0.00761024,0.00020136,57600
3,0.01293829,0.00000000,57600
4,0.01585540,0.00000000,57600
5,0.00000000,0.02292308,57600
6,0.00000000,70.14964713,57600
0,0.00052012,0.00085233,86400
1,0.00793285,0.00008542,86400
2,0.01409771,0.00341289,86400
3,0.02387467,0.00000000,86400
4,0.02251685,0.00000000,86400
5,0.00000000,0.00102630,86400
6,0.00000000,158.83917383,86400
