Step,Computo,Comunicacion,N
0,0.00030639,0.00439126,10800
1,0.00469766,0,10800
0,0.00059722,0.00348582,21600
1,0.00408304,0,21600
0,0.73407768,0.15434573,23619600
1,0.88842342,0,23619600
0,0.06732362,0.04333250,2624400
1,0.11065611,0,2624400
0,0.00960056,0.00796226,291600
1,0.01756282,0,291600
0,0.00009493,0.00618204,3600
1,0.00627697,0,3600
0,2.34046264,0.46408125,70858800
1,2.80454389,0,70858800
0,0.22619068,0.05881783,7873200
1,0.28500851,0,7873200
0,0.02041384,0.01295798,874800
1,0.03337182,0,874800
