Step,Computo,Comunicacion,N
0,0.00123719,0.00085375,10800
1,0.00209094,0,10800
0,0.00265218,0.00083374,21600
1,0.00348592,0,21600
0,4.73623998,0.08641223,23619600
1,4.82265221,0,23619600
0,0.44905834,0.01576282,2624400
1,0.46482116,0,2624400
0,0.04227366,0.00316851,291600
1,0.04544217,0,291600
0,0.00036965,0.00056150,3600
1,0.00093116,0,3600
0,15.10988053,0.14191093,70858800
1,15.25179145,0,70858800
0,1.47024279,0.03740658,7873200
1,1.50764937,0,7873200
0,0.13732006,0.00616627,874800
1,0.14348633,0,874800
