Step,Computo,Comunicacion,N
0,0.00058771,0.02546138,10800
1,0.02604910,0,10800
0,0.00118184,0.00055091,21600
1,0.00173275,0,21600
0,1.70306258,0.09827797,23619600
1,1.80134055,0,23619600
0,0.15409256,0.01796240,2624400
1,0.17205496,0,2624400
0,0.01849679,0.00862178,291600
1,0.02711858,0,291600
0,0.00024611,0.05381878,3600
1,0.05406489,0,3600
0,5.84023442,0.48495387,70858800
1,6.32518829,0,70858800
0,0.62524928,0.04469913,7873200
1,0.66994841,0,7873200
0,0.06069592,0.00810231,874800
1,0.06879823,0,874800
