Step,Computo,Comunicacion,N
0,0.15382260,0.77751334,19051200
1,0.00325720,0.09318061,19051200
2,0.07299378,0.09658325,19051200
3,1.92473572,0.00000000,19051200
4,1.81352516,0.00000000,19051200
5,0.00000000,0.92877048,19051200
6,0.00000000,0.00000000,19051200
0,0.00204553,0.43722663,2116800
1,0.00796087,0.01310949,2116800
2,0.03084290,0.03300122,2116800
3,0.15229431,0.00000000,2116800
4,0.20431658,0.00000000,2116800
5,0.00000000,0.15788602,2116800
6,0.00000000,0.00000000,2116800
0,0.01197026,0.29527942,6350400
1,0.00096951,0.03277517,6350400
2,0.01500314,0.06405313,6350400
3,0.66283315,0.00000000,6350400
4,0.68528213,0.00000000,6350400
5,0.00000000,0.01313445,6350400
6,0.00000000,0.00000000,6350400
0,0.00046709,0.37531541,705600
1,0.00083945,0.00471252,705600
2,0.00232990,0.03260558,705600
3,0.03614452,0.00000000,705600
4,0.05346197,0.00000000,705600
5,0.00000000,0.02588062,705600
6,0.00000000,0.00000000,705600
