Step,Computo,Comunicacion,N
0,0.00284037,0.00001308,10800
1,0.00285345,0,10800
0,0.00709583,0.00001935,21600
1,0.00711517,0,21600
0,11.97033874,0.03674659,23619600
1,12.00708533,0,23619600
0,1.17401148,0.00345271,2624400
1,1.17746419,0,2624400
0,0.10740374,0.00022383,291600
1,0.10762757,0,291600
0,0.00086491,0.00001081,3600
1,0.00087573,0,3600
0,35.34412159,0.11725853,70858800
1,35.46138012,0,70858800
0,3.78384134,0.01095544,7873200
1,3.79479678,0,7873200
0,0.37101900,0.00119563,874800
1,0.37221463,0,874800
