Step,Computo,Comunicacion,N
0,0.01771098,0.00006134,10800
1,0.00014439,0.00004120,10800
2,0.00018235,0.00002524,10800
3,0.00054306,0.00000000,10800
4,0.00073780,0.00000000,10800
5,0.00000000,0.00052085,10800
6,0.00000000,0.00000000,10800
0,0.00162926,0.00007907,21600
1,0.00013134,0.00024480,21600
2,0.00013042,0.00019169,21600
3,0.00112856,0.00000000,21600
4,0.00152058,0.00000000,21600
5,0.00000000,0.00005092,21600
6,0.00000000,0.00000000,21600
0,0.48501011,0.02862592,23619600
1,0.00008865,0.01433317,23619600
2,0.10048347,0.01453333,23619600
3,2.02884918,0.00000000,23619600
4,3.99230079,0.00000000,23619600
5,0.00000000,0.34612403,23619600
6,0.00000000,0.00000000,23619600
0,0.11101073,0.04694829,2624400
1,0.00013207,0.02894534,2624400
2,0.12454524,0.00165345,2624400
3,0.19488605,0.00000000,2624400
4,0.29123310,0.00000000,2624400
5,0.00000000,0.01488740,2624400
6,0.00000000,0.00000000,2624400
0,0.02387154,0.00170876,291600
1,0.00007349,0.01377245,291600
2,0.00117510,0.00083325,291600
3,0.01795731,0.00000000,291600
4,0.02626274,0.00000000,291600
5,0.00000000,0.00049245,291600
6,0.00000000,0.00000000,291600
0,0.00025793,0.00003648,3600
1,0.00005516,0.00002202,3600
2,0.00008330,0.00000640,3600
3,0.00013817,0.00000000,3600
4,0.00021191,0.00000000,3600
5,0.00000000,0.00010411,3600
6,0.00000000,0.00000000,3600
0,1.72028002,0.06343092,70858800
1,0.00010762,0.04302651,70858800
2,0.29657726,0.04351828,70858800
3,6.42804430,0.00000000,70858800
4,13.38740225,0.00000000,70858800
5,0.00000000,2.68682951,70858800
6,0.00000000,0.00000000,70858800
0,0.24544913,0.14755909,7873200
1,0.00011578,0.08023882,7873200
2,0.43386374,0.00441853,7873200
3,0.63417890,0.00000000,7873200
4,1.05367948,0.00000000,7873200
5,0.00000000,0.06940893,7873200
6,0.00000000,0.00000000,7873200
0,0.00115378,0.00061808,874800
1,0.00007359,0.00261683,874800
2,0.00164539,0.00263206,874800
3,0.05930745,0.00000000,874800
4,0.08426017,0.00000000,874800
5,0.00000000,0.00182858,874800
6,0.00000000,0.00000000,874800
