Step,Computo,Comunicacion,N
0,0.00004160,0.00010059,10800
1,0.00204184,0.00007690,10800
2,0.00009086,0.00014098,10800
3,0.00074628,0.00000000,10800
4,0.00122746,0.00000000,10800
5,0.00000000,0.00002750,10800
6,0.00000000,0.00000000,10800
0,0.00002393,0.00009326,21600
1,0.00009029,0.00026983,21600
2,0.00022376,0.00006107,21600
3,0.00158387,0.00000000,21600
4,0.00243563,0.00000000,21600
5,0.00000000,0.00172864,21600
6,0.00000000,0.00000000,21600
0,0.11637664,0.03680304,23619600
1,0.00011014,0.02779324,23619600
2,0.07076380,0.02862821,23619600
3,2.85989464,0.00000000,23619600
4,4.26890463,0.00000000,23619600
5,0.00000000,0.07500701,23619600
6,0.00000000,0.00000000,23619600
0,0.00579581,0.08038149,2624400
1,0.00009824,0.00319462,2624400
2,0.00796232,0.00325553,2624400
3,0.26857346,0.00000000,2624400
4,0.40795838,0.00000000,2624400
5,0.00000000,0.01477473,2624400
6,0.00000000,0.00000000,2624400
0,0.00033776,0.00030534,291600
1,0.00006960,0.00038976,291600
2,0.00090578,0.00036443,291600
3,0.02479555,0.00000000,291600
4,0.04042107,0.00000000,291600
5,0.00000000,0.00082963,291600
6,0.00000000,0.00000000,291600
0,0.00000684,0.00004070,3600
1,0.00012100,0.00002964,3600
2,0.00005203,0.00004467,3600
3,0.00022370,0.00000000,3600
4,0.00037275,0.00000000,3600
5,0.00000000,0.00000991,3600
6,0.00000000,0.00000000,3600
0,0.35431191,0.13278672,70858800
1,0.00011879,0.08338792,70858800
2,0.21259990,0.08567907,70858800
3,9.21748404,0.00000000,70858800
4,13.61791589,0.00000000,70858800
5,0.00000000,0.04464345,70858800
6,0.00000000,0.00000000,70858800
0,0.02150969,0.23681209,7873200
1,0.00012729,0.00937714,7873200
2,0.02459382,0.00975141,7873200
3,0.87644165,0.00000000,7873200
4,1.35506461,0.00000000,7873200
5,0.00000000,0.03376205,7873200
6,0.00000000,0.00000000,7873200
0,0.00189363,0.01794283,874800
1,0.00010739,0.00111122,874800
2,0.00273476,0.00123760,874800
3,0.08353747,0.00000000,874800
4,0.13257263,0.00000000,874800
5,0.00000000,0.00036347,874800
6,0.00000000,0.00000000,874800
