Step,Computo,Comunicacion,N
0,0.00018471,0.02091944,10800
1,0.02110415,0,10800
0,0.00032632,0.00929137,21600
1,0.00961769,0,21600
0,0.47336853,0.23277023,23619600
1,0.70613876,0,23619600
0,0.04449087,0.02870460,2624400
1,0.07319547,0,2624400
0,0.00450519,0.00726985,291600
1,0.01177505,0,291600
0,0.00007418,0.00714779,3600
1,0.00722197,0,3600
0,1.63842042,0.61107745,70858800
1,2.24949788,0,70858800
0,0.14650482,0.07533160,7873200
1,0.22183642,0,7873200
0,0.01300756,0.01835257,874800
1,0.03136013,0,874800
