Step,Computo,Comunicacion,N
0,0.00509033,0.00007970,10800
1,0.00012356,0.00016431,10800
2,0.00018190,0.00011389,10800
3,0.00074768,0.00000000,10800
4,0.00111845,0.00000000,10800
5,0.00000000,0.00018331,10800
6,0.00000000,0.00000000,10800
0,0.00183812,0.00005575,21600
1,0.00004804,0.00015655,21600
2,0.00011580,0.00009421,21600
3,0.00149211,0.00000000,21600
4,0.00220394,0.00000000,21600
5,0.00000000,0.00016900,21600
6,0.00000000,0.00000000,21600
0,0.16148796,0.03125937,23619600
1,0.00006490,0.01434413,23619600
2,0.08124799,0.01437037,23619600
3,2.57608238,0.00000000,23619600
4,5.11269012,0.00000000,23619600
5,0.00000000,0.04188920,23619600
6,0.00000000,0.00000000,23619600
0,0.05706986,0.03945023,2624400
1,0.00005255,0.02934871,2624400
2,0.06032676,0.00156560,2624400
3,0.24395590,0.00000000,2624400
4,0.37018610,0.00000000,2624400
5,0.00000000,0.00515363,2624400
6,0.00000000,0.00000000,2624400
0,0.00360262,0.00022637,291600
1,0.00003869,0.00054927,291600
2,0.00068278,0.00038503,291600
3,0.02310493,0.00000000,291600
4,0.03284505,0.00000000,291600
5,0.00000000,0.00073243,291600
6,0.00000000,0.00000000,291600
0,0.00022408,0.00002903,3600
1,0.00004662,0.00044301,3600
2,0.00006887,0.00001383,3600
3,0.00017899,0.00000000,3600
4,0.00027811,0.00000000,3600
5,0.00000000,0.00010845,3600
6,0.00000000,0.00000000,3600
0,0.50630142,0.08971260,70858800
1,0.00006976,0.04248876,70858800
2,0.24493131,0.04405751,70858800
3,8.11052587,0.00000000,70858800
4,17.96940854,0.00000000,70858800
5,0.00000000,0.10591754,70858800
6,0.00000000,0.00000000,70858800
0,0.24697474,0.11533609,7873200
1,0.00007049,0.08947712,7873200
2,0.19363005,0.00154737,7873200
3,0.79753009,0.00000000,7873200
4,1.36211277,0.00000000,7873200
5,0.00000000,0.00869810,7873200
6,0.00000000,0.00000000,7873200
0,0.12797555,0.00077503,874800
1,0.00003880,0.00162865,874800
2,0.00202847,0.00158509,874800
3,0.07169188,0.00000000,874800
4,0.10583913,0.00000000,874800
5,0.00000000,0.00182629,874800
6,0.00000000,0.00000000,874800
