Step,Computo,Comunicacion,N
0,0.00883740,0.00006634,10800
1,0.00016440,0.00004586,10800
2,0.00017478,0.00002442,10800
3,0.00039371,0.00000000,10800
4,0.00068490,0.00000000,10800
5,0.00000000,0.00064521,10800
6,0.00000000,0.00000000,10800
0,0.00010406,0.00010875,21600
1,0.00007312,0.00026978,21600
2,0.00028176,0.00010496,21600
3,0.00084284,0.00000000,21600
4,0.00138913,0.00000000,21600
5,0.00000000,0.00105168,21600
6,0.00000000,0.00000000,21600
0,0.40318724,0.02014779,23619600
1,0.00008510,0.01431124,23619600
2,0.10207015,0.01424647,23619600
3,1.73977573,0.00000000,23619600
4,2.56978088,0.00000000,23619600
5,0.00000000,0.12972501,23619600
6,0.00000000,0.00000000,23619600
0,0.08947736,0.04071329,2624400
1,0.00014261,0.02585882,2624400
2,0.12768581,0.00175495,2624400
3,0.16432656,0.00000000,2624400
4,0.25160875,0.00000000,2624400
5,0.00000000,0.01089780,2624400
6,0.00000000,0.00000000,2624400
0,0.00813591,0.00419913,291600
1,0.00008232,0.01166726,291600
2,0.00073411,0.00088951,291600
3,0.01500679,0.00000000,291600
4,0.02408002,0.00000000,291600
5,0.00000000,0.00038269,291600
6,0.00000000,0.00000000,291600
0,0.00038475,0.00004656,3600
1,0.00005999,0.00003189,3600
2,0.00006914,0.00000901,3600
3,0.00013726,0.00000000,3600
4,0.00023400,0.00000000,3600
5,0.00000000,0.00007563,3600
6,0.00000000,0.00000000,3600
0,1.11103752,0.06965790,70858800
1,0.00011501,0.04296546,70858800
2,0.30325418,0.02882740,70858800
3,5.59408107,0.00000000,70858800
4,8.22820280,0.00000000,70858800
5,0.00000000,0.21089383,70858800
6,0.00000000,0.00000000,70858800
0,0.38232141,0.13435568,7873200
1,0.00011260,0.07600540,7873200
2,0.39698859,0.00451994,7873200
3,0.53302636,0.00000000,7873200
4,0.80825772,0.00000000,7873200
5,0.00000000,0.03066392,7873200
6,0.00000000,0.00000000,7873200
0,0.03384747,0.00618073,874800
1,0.00008999,0.00265363,874800
2,0.00174164,0.00261904,874800
3,0.04927055,0.00000000,874800
4,0.07766151,0.00000000,874800
5,0.00000000,0.00251677,874800
6,0.00000000,0.00000000,874800
