Step,Computo,Comunicacion,N
0,0.00161143,0.00005229,10800
1,0.00004803,0.00015036,10800
2,0.00010871,0.00008895,10800
3,0.00079018,0.00000000,10800
4,0.00127546,0.00000000,10800
5,0.00000000,0.00004343,10800
6,0.00000000,0.00000000,10800
0,0.00009983,0.00007620,21600
1,0.00003117,0.00015245,21600
2,0.00011999,0.00006306,21600
3,0.00170114,0.00000000,21600
4,0.00263904,0.00000000,21600
5,0.00000000,0.00004765,21600
6,0.00000000,0.00000000,21600
0,0.12058168,0.01895847,23619600
1,0.00006774,0.02820036,23619600
2,0.07143950,0.02839996,23619600
3,2.97705327,0.00000000,23619600
4,4.20542534,0.00000000,23619600
5,0.00000000,0.07785571,23619600
6,0.00000000,0.00000000,23619600
0,0.00622643,0.03406249,2624400
1,0.00006040,0.06793278,2624400
2,0.00832293,0.00324237,2624400
3,0.27007678,0.00000000,2624400
4,0.40318332,0.00000000,2624400
5,0.00000000,0.01444110,2624400
6,0.00000000,0.00000000,2624400
0,0.00042509,0.00028525,291600
1,0.00003765,0.00036956,291600
2,0.00093221,0.00037697,291600
3,0.02471154,0.00000000,291600
4,0.03998688,0.00000000,291600
5,0.00000000,0.00037717,291600
6,0.00000000,0.00000000,291600
0,0.00048108,0.00002345,3600
1,0.00002945,0.00004278,3600
2,0.00004379,0.00001105,3600
3,0.00020317,0.00000000,3600
4,0.00036103,0.00000000,3600
5,0.00000000,0.00001436,3600
6,0.00000000,0.00000000,3600
0,0.48766914,0.07813735,70858800
1,0.00005797,0.08465388,70858800
2,0.21345248,0.08505600,70858800
3,9.34951490,0.00000000,70858800
4,13.41863246,0.00000000,70858800
5,0.00000000,0.06222420,70858800
6,0.00000000,0.00000000,70858800
0,0.03812840,0.09504902,7873200
1,0.00006752,0.20189446,7873200
2,0.02439944,0.01008042,7873200
3,0.88539531,0.00000000,7873200
4,1.34333720,0.00000000,7873200
5,0.00000000,0.02871543,7873200
6,0.00000000,0.00000000,7873200
0,0.00999795,0.00667736,874800
1,0.00004297,0.01138843,874800
2,0.00279960,0.00143638,874800
3,0.08326188,0.00000000,874800
4,0.12923867,0.00000000,874800
5,0.00000000,0.00053270,874800
6,0.00000000,0.00000000,874800
