Step,Computo,Comunicacion,N
0,0.00046963,0.02069482,10800
1,0.02116444,0,10800
0,0.00088261,0.01117384,21600
1,0.01205646,0,21600
0,1.27310181,0.13118768,23619600
1,1.40428949,0,23619600
0,0.12383442,0.01667218,2624400
1,0.14050660,0,2624400
0,0.01176251,0.00591817,291600
1,0.01768068,0,291600
0,0.00013947,0.00152225,3600
1,0.00166172,0,3600
0,4.14886149,0.36129101,70858800
1,4.51015250,0,70858800
0,0.39368354,0.06055375,7873200
1,0.45423729,0,7873200
0,0.03727737,0.00916994,874800
1,0.04644731,0,874800
